route_id,speed_peak_total_effect_pct,speed_overall_total_effect_pct,journeyperformance_overall_total_effect_pct,journeyperformance_off_peak_total_effect_pct,journeyperformance_peak_total_effect_pct,speed_offpeak_total_effect_pct
B41,3.2311924241046786,3.066334218292765,2.4974696840439847,3.098418843441153,1.771662781610006,2.9883194221064224
B42,-9.252822310024156,-8.630494692045776,0.2507792606178727,-1.3347915333045912,2.252099486948511,-7.668667727071144
B44+,8.835057186688577,8.521251867361013,2.7222380549399405,-0.3462810756074908,6.200502306126299,8.454748201119155
B46+,-5.495090834919203,-5.73073936713917,-4.946266662144772,-3.7307140668156658,-16.557108009736933,-5.223480746268483
B60,-1.0026979006758197,-0.1351621174630723,7.250618488798155,9.739903783193382,4.640260834641508,0.3283311093593033
B62,-5.228136895873236,-1.6612685155775295,-12.049984262205404,-12.569216346808007,-11.665300458895487,-1.0768136645931905
B63,-1.2967156075481712,-0.4063772550559785,-1.9139311207110432,-1.853115326582111,-1.0714243271832349,0.033968064094636
B68,-1.474998629050206,-1.0221207011434474,0.5376237629989733,5.214614365234027,1.8067991126291536,-0.6988183160108075
B82+,2.010046167273183,2.91505309875415,0.2740142528039779,3.6173573339738585,-4.7951626014264175,2.679032921756685
BX12+,-0.79809047902486,0.2723078973884796,-8.960890847795877,-5.007678029286322,-15.20840098357793,0.4156398151810903
BX15,0.4316622220679855,0.7423188907113687,5.347618463269876,4.537372020751418,7.063282824895567,0.8958050057193523
BX19,-0.4748047823645573,-0.6697724216544909,-2.2703976336940546,-4.582833701397937,-0.1650297417259194,-0.763166676268856
BX2,-0.1520360765777106,-0.1790525538638343,1.198534518872396,1.933119013258322,1.2847980534431924,-0.1745433135700969
BX20,-2.446553015943476,-1.6245641715094128,9.005157060198133,18.587122430107385,-0.5412109690401956,2.179847652559408
BX22,1.2223228299116815,1.4970415955204652,2.193628256594815,3.408365099706101,0.5976421075174487,1.6533525725715092
BX28,-0.022186965277271,-1.0973319826076633,-5.55149423529484,-5.493412732237824,-4.927040388811066,-1.244702560024058
BX3,0.6706449123272229,0.4098655433643738,-0.9397933449386886,-3.14677191942494,1.0199069796979154,0.4220798994223784
BX35,-1.0788057825563913,-2.064823269637017,-18.62548880143613,-16.274548240173647,-21.25274434699197,-2.727755218028316
BX36,-2.9622264246997543,-3.634375639437226,-11.273783535785176,-11.886599034100463,-10.003991414312118,-3.863968523496031
