route_id,able_effect_pct,ace_incremental_effect_pct,total_effect_pct
B11,,1.63093705539069,1.63093705539068
B25,-0.6130142509401454,1.6872730659718531,1.0639155906850162
B26,1.3281848436784123,4.548549901037728,5.937147895108863
B35,,0.4624972818339815,0.46249728183398453
B41,,3.0663342182927558,3.0663342182927655
B44+,3.634288093908855,4.715585800158913,8.521251867361013
B60,,-0.13516211746306864,-0.13516211746307238
B62,0.733334957187851,-2.377170847945333,-1.6612685155775297
B63,,-0.40637725505598193,-0.40637725505597855
B68,,-1.0221207011434525,-1.0221207011434474
BX12+,-0.15521258073455663,0.42818507522862265,0.2723078973884796
BX15,,0.7423188907113634,0.7423188907113687
BX19,-0.41798724392880704,-0.25284202513805676,-0.6697724216544909
BX2,,-0.17905255386383906,-0.17905255386383434
BX22,,1.497041595520458,1.4970415955204652
BX28,,-1.0973319826076675,-1.0973319826076633
BX3,,0.4098655433643732,0.40986554336437386
BX35,-0.5715543227176689,-1.5018528518147576,-2.0648232696370172
BX36,-1.268630194627824,-2.3961436466170305,-3.634375639437226
BX38,,-0.4446269754224929,-0.44462697542249074
BX41+,-0.2187934395712365,-0.39672271574034923,-0.6146481520362568
BX5,,1.1417602882037408,1.1417602882037414
BX7,,0.33373796132661515,0.3337379613266078
BX9,,-0.18369243249592834,-0.18369243249592992
M100,,-0.33694140026905506,-0.33694140026905295
M101,,-0.1818546536793041,-0.1818546536793031
M116,,0.31826590103879393,0.3182659010387834
M15+,0.3057348570668968,-0.26778436206262873,0.03713178486766111
M2,,-0.8883308179399184,-0.8883308179399196
M34+,15.478066260542821,17.925702528321928,36.178320903866215
M4,,1.3044748638002361,1.3044748638002313
M42,,1.8565667345493815,1.856566734549392
M57,,-0.7611325426640696,-0.7611325426640669
M60+,,-0.2963895521051398,-0.2963895521051363
M96,,0.6171520079306517,0.6171520079306436
Q43,-0.07338530024204942,-3.00273651864887,-3.073918251681229
Q5,,1.2466483646470867,1.246648364647096
Q54,-2.625107067897162,-2.6579512004735317,-5.213284203545799
Q58,-0.5564482630008699,-0.8941507197936965,-1.445623496645665
Q6,,6.987393008122679,6.987393008122678
Q69,,2.3711076360921504,2.37110763609214
S46,,0.164403652727754,0.16440365272776258
S79+,0.15596301335191728,0.7686658026952184,0.9258276503956164
M86+,7.216585723262823,6.933563783355642,14.650516080721431
Q44+,1.3517063583307607,2.073246815634914,3.4529773829965027
B46+,-2.6570653177498857,-3.1575728217178414,-5.73073936713917
M23+,8.570135474067401,8.881772492041568,18.213087901175374
M79+,,1.8263760561131908,1.8263760561131992
BX6+,,1.4301873450420768,1.4301873450420777
Q53+,,0.37044952510573587,0.3704495251057427
B82+,,2.9150530987541554,2.91505309875415
B42,-4.094157487663133,-4.72999046309313,-8.630494692045776
BX20,,-1.6245641715094117,-1.6245641715094128
