route_id,able_effect_pct,ace_incremental_effect_pct,total_effect_pct
B11,,0.341355437800829,0.34135543780082767
B25,-0.42944245804841924,1.3897488141740808,0.9543381846573773
B26,0.8982054441488653,4.029116627092662,4.963511816137189
B35,,0.912780599611784,0.9127805996117733
B41,,3.2311924241046737,3.2311924241046786
B44+,3.756755206710985,4.8944302179268,8.835057186688577
B60,,-1.0026979006758185,-1.0026979006758197
B62,-0.774170364321944,-4.488716847120019,-5.228136895873236
B63,,-1.2967156075481687,-1.2967156075481712
B68,,-1.4749986290502095,-1.474998629050206
BX12+,-0.6076924803778238,-0.19156210716755787,-0.79809047902486
BX15,,0.4316622220679902,0.43166222206798555
BX19,-0.33512594241770854,-0.14014851397509226,-0.47480478236455737
BX2,,-0.15203607657771273,-0.15203607657771068
BX22,,1.2223228299116844,1.2223228299116817
BX28,,-0.022186965277273037,-0.022186965277271042
BX3,,0.6706449123272217,0.6706449123272229
BX35,0.21271916284610684,-1.2887834560239488,-1.0788057825563913
BX36,-1.0417740594190554,-1.9406697594132605,-2.9622264246997543
BX38,,0.023365578583661083,0.02336557858366728
BX41+,0.5375428449801386,0.759166765205157,1.3007904568131057
BX5,,0.3325530436769904,0.33255304367698635
BX7,,-0.15133531325451333,-0.1513353132545081
BX9,,-0.7975491398346416,-0.7975491398346413
M100,,0.30120039255040243,0.30120039255039366
M101,,0.9757954068612289,0.9757954068612351
M116,,-0.6356428590342115,-0.6356428590342134
M15+,0.5979194734054655,-0.07906060802660345,0.5183861466076634
M2,,-0.23039637011118708,-0.23039637011118552
M34+,17.135744668181594,20.9862987183498,41.718201950209696
M4,,1.6418297479248039,1.6418297479247945
M42,,1.7706233527270558,1.7706233527270632
M57,,-0.46822261666308823,-0.4682226166630832
M60+,,-0.6145996098130089,-0.6145996098130047
M96,,1.0687132533520407,1.0687132533520494
Q43,0.06509154073167182,-1.9207511084092979,-1.8569098141677176
Q5,,1.268647473232396,1.2686474732323871
Q54,-2.8116621244159417,-2.555185015701575,-5.295003970822276
Q58,-0.8142627786981087,-1.564082320418379,-2.3656093589531246
Q6,,6.515348518837433,6.515348518837438
Q69,,2.300894064638536,2.3008940646385367
S46,,1.2105123250288086,1.2105123250288008
S79+,0.4195867679310083,0.4985244534017925,0.9202029639741705
M86+,10.412742952695805,10.372858346534418,21.8657003757021
Q44+,0.8928460302883058,1.5963326721712892,2.503431495353281
B46+,-2.427446645740478,-3.143962194000327,-5.495090834919203
M23+,8.476967348328554,8.678669116073303,17.891324411640873
M79+,,1.986702007904009,1.9867020079040065
BX6+,,1.314597491034449,1.3145974910344416
Q53+,,0.3484513012282819,0.34845130122829193
B82+,,2.0100461672731775,2.010046167273183
B42,-4.10065134636871,-5.372477536071728,-9.252822310024156
BX20,,-2.446553015943481,-2.4465530159434756
