route_id,able_effect_pct,ace_incremental_effect_pct,total_effect_pct
B11,,4.905607183321579,4.905607183321581
B25,-0.6417143239022381,1.859873660047996,1.2062242604627516
B26,-0.35035111207876607,8.306859838643247,7.927405550740985
B35,,-0.8333662714884436,-0.8333662714884449
B41,,2.4974696840439834,2.4974696840439847
B44+,-1.4332531464346163,4.215915949369945,2.7222380549399405
B46+,-2.2760193327311606,-2.7324381499616597,-4.9462666621447715
B60,,7.250618488798148,7.250618488798155
B62,-6.087370892393585,-6.349107065227377,-12.049984262205404
B63,,-1.9139311207110459,-1.9139311207110432
B68,,0.5376237629989751,0.5376237629989733
BX12+,-3.138635170560771,-6.010916413873971,-8.960890847795877
BX15,,5.347618463269868,5.347618463269876
BX19,-0.46582750298164255,-1.813015656272693,-2.2703976336940546
BX2,,1.1985345188723888,1.1985345188723961
BX20,,9.005157060198128,9.005157060198133
BX22,,2.193628256594808,2.193628256594815
BX28,,-5.55149423529484,-5.55149423529484
BX3,,-0.9397933449386855,-0.9397933449386886
BX35,-5.239518312143486,-14.126110643238784,-18.62548880143613
BX36,-0.867046562053258,-10.497757418521907,-11.273783535785176
BX38,,-4.863048630198456,-4.863048630198453
BX41+,17.10042042801018,31.304737337318382,53.75839946389429
BX5,,-0.23187584507726797,-0.23187584507726733
BX7,,-2.4879185669046238,-2.4879185669046233
BX9,,-1.35408943268204,-1.3540894326820374
M100,,2.0656955764251848,2.065695576425175
M101,,3.2975910771716195,3.2975910771716244
M116,,1.1725730712398306,1.1725730712398352
M15+,4.380372512769366,6.532118109979745,11.198621728940283
M2,,-1.1054110941414172,-1.1054110941414175
M23+,12.14624366745071,13.99526312876336,27.841405557734554
M34+,5.238246617433958,15.468297319361485,21.5168114979015
M4,,0.01764006052598895,0.017640060525980772
M42,,6.447520365749118,6.447520365749115
M57,,0.729818978729609,0.7298189787296128
M60+,,7.5494281790072835,7.549428179007278
M79+,,-1.0226914523635324,-1.0226914523635333
M86+,9.058931682379335,8.68951400228519,18.535622821662344
M96,,1.109695376556486,1.1096953765564965
Q43,-5.882789044324541,-8.458433159203132,-13.843630424316567
Q44+,2.571922978171479,2.6064323174342254,5.2453907272882905
Q5,,7.872299261598278,7.87229926159827
Q54,-4.656642051114678,-2.7064715446900225,-7.237082903753212
Q58,-2.0022539144483,-2.2385566625797098,-4.195988988624366
Q6,,16.34663765660345,16.34663765660345
Q69,,1.6635582470811052,1.6635582470811094
S46,,1.9501098380007453,1.9501098380007464
S79+,-1.7053868398902505,-7.983670546593736,-9.552904919642192
BX6+,,5.036596453960089,5.036596453960085
Q53+,,-0.6875581018762003,-0.6875581018761956
B82+,,0.2740142528039721,0.27401425280397795
B42,-0.8528307640041094,1.1131029086620616,0.2507792606178727
