route_id,able_effect_pct,ace_incremental_effect_pct,total_effect_pct
B11,,2.0280466854070016,2.0280466854069923
B25,-1.305507060079009,0.8790676166205299,-0.43791573325633326
B26,1.6098148850396583,5.388965652122271,7.085532908379477
B35,,0.2512813543189172,0.25128135431891074
B41,,2.988319422106419,2.9883194221064224
B44+,3.5853351637055457,4.7008710544962975,8.454748201119155
B60,,0.32833110935930937,0.3283311093593033
B62,0.8475998905526133,-1.9082393207516275,-1.0768136645931903
B63,,0.03396806409464489,0.03396806409463604
B68,,-0.6988183160108083,-0.6988183160108075
BX12+,-0.05229431364294791,0.4681789597976965,0.4156398151810903
BX15,,0.8958050057193424,0.8958050057193523
BX19,-0.43545412572638537,-0.329145829637278,-0.763166676268856
BX2,,-0.17454331357009736,-0.1745433135700969
BX22,,1.6533525725715088,1.6533525725715092
BX28,,-1.244702560024055,-1.244702560024058
BX3,,0.42207989942237767,0.42207989942237845
BX35,-1.002448694807973,-1.7427769681913867,-2.727755218028316
BX36,-1.422217470776695,-2.4769790819705935,-3.863968523496031
BX38,,-0.6723795063924202,-0.6723795063924176
BX41+,-0.585774516575947,-0.7985194595104975,-1.3796164525827215
BX5,,1.4746822337007384,1.4746822337007304
BX7,,0.4488381890550573,0.44883818905505635
BX9,,0.13592113275920317,0.13592113275919804
M100,,-0.7248897281089716,-0.7248897281089683
M101,,-0.16840410959857335,-0.16840410959857444
M116,,0.6042074202270327,0.6042074202270431
M15+,0.16362856471459566,-0.25379606850843855,-0.09058278665805553
M2,,-1.0221762017809266,-1.0221762017809222
M34+,15.203359715579923,17.667504343437123,35.556918297115494
M4,,1.2412607993954408,1.2412607993954383
M42,,2.0435825511538392,2.043582551153844
M57,,-0.7504162385571937,-0.7504162385571944
M60+,,-0.2879055951946308,-0.28790559519462633
M96,,0.4337392509569142,0.43373925095691046
Q43,-0.5856990481969048,-3.6331584577722653,-4.197578131462521
Q5,,1.2450035806947204,1.2450035806947257
Q54,-2.5922819990966146,-2.711103366197924,-5.233105920755687
Q58,-0.5290720671725275,-0.9031866112407987,-1.427480170338813
Q6,,7.633698932904231,7.63369893290422
Q69,,2.311171631630647,2.3111716316306374
S46,,-0.5332137781953474,-0.5332137781953517
S79+,0.021646637545845393,0.7988299574907924,0.8206495148621373
M86+,5.878169403382589,5.480062733969595,11.680359508266559
Q44+,1.2899295906913257,2.0044212356858457,3.3202064490183814
B46+,-2.5334647307240936,-2.7599380732192293,-5.223480746268483
M23+,11.485973010507514,12.111440501485848,24.98853029917769
M79+,,1.3857336612285278,1.3857336612285387
BX6+,,1.3598368529057718,1.3598368529057714
Q53+,,0.4044511539676176,0.404451153967611
B82+,,2.6790329217566957,2.6790329217566855
B42,-3.92773964855031,-3.8938691198019555,-7.668667727071144
BX20,,2.1798476525594146,2.179847652559408
